Question,ans1,ans2,ans3,ans4,info,correct
Wer ist der weltweit führende Produzent von Kiwis?,Japan,Italien,Taiwan,China,"Obwohl die Kiwi ursprünglich aus China stammt, ist Italien der bedeutendste Kiwiproduzent.",2
Wobei handelt es sich NICHT um eine Kiwisorte?,Hayward,Bruno,Knut,Abbott,"Knut ist KEINE Kiwisorte. Die mit ca. 80% wichtigste ist die Kiwisorte ""Hayward"".",3
Der Kaffeebaum stammt aus der Familie der...,Agavengewächse (Agavaceae),Nachtschattengewächse (Solanaceae),Orchideen (Orchidaceae),Rötegewächse (Rubiaceae),Der Kaffeebaum stammt aus der Familie der Rötegewächse (Rubiaceae).,4
Welche Kaffeesorte hat weltweit die größte wirtschaftliche Bedeutung?,Coffea affinis,Coffea arabica,Coffea canephora bzw. robusta,Coffea liberica,"Von den zahlreichen Kaffee-Arten werden 75% C. arabica und 25% C. canephora/robusta angebaut. 
Die Anteile der übrigen Sorten liegen zusammen bei unter 1%.",2
Auf welchem Erdteil wird am meisten Kaffee angebaut?,Afrika,Amerika,Asien,Europa,"Mengenmäßig am meisten wird in Amerika (v.a. Brasilien) angebaut, gefolgt von Afrika.",2
Welche Pflanze spielt für die Herstellung von Kaffee-Ersatz die quantitativ größte Rolle?,Ingwer,Sellerie,Topinambur,Zichorie,Das wichtigste Erzeugnis für Kaffeeersatz ist die Zichorie. Laut Kaffee-Verordnung handelt es sich bei dem entstehenden Getränk allerdings um ein eigenständiges Produkt.,4
Welche Säure kommen im Kaffee mengenmäßig am häufigsten vor?,Chlorogensäure,Eicosapentaensäure,Laurinsäure,Myristinsäure,Die Chlorogensäure ist die mengenmäßig wichtigste. Ihr Gehalt im Kaffee nimmt mit zunehmenden Röstungsgrad ab.,1
Wie lautet die wissenschaftliche Bezeichnung für Apfel?,Halus,Malus,Phalanx,Thalanx,Die wissenschaftliche Bezeichnung für Apfel lautet Malus?,2
Äpfel sind ...,Beerenobst,Steinobst,Kernobst,Südfrüchte,Äpfel gehören zur Unterfamilie der Kernobstgewächse.,3
Wobei handelt es sich NICHT um eine Apfelsorte?,Granny Smith,Golden Delicious,Jonagold,Lady Felicia,Bei Lady Felicia handelt es sich um eine frühreife Kartoffelsorte.,4
"Wie heisst das Reifegas, das aus Äpfeln austritt?",Ethan,Ethylen,Methan,Methylen,"Das Reifungsgas, das unter anderem in Äpfeln vorkommt, heisst Ethylen bzw. Ethen.",2
"Wie heisst das Schimmelpilzgift, das sich an braunen, faulen Stellen bei Äpfeln bilden kann?",Patulin,Solanin,Putrescin,Serotonin,"An den braunen, faulen Stellen kann sich das Schimmelpilzgift (Mykotoxin) Patulin bilden.",1
Wie ist der Name des bernsteinfarbenen Apfelbranntweines aus der Normandie (Frankreich)?,Absinth,Pastis,Sambuca,Calvados,Calvados ist eine bernsteinfarbene Spirituose aus der Normandie.,4
Wie lautet die botanische Bezeichnung von Hafer?,Avena,Gardena,Susena,Tangena,Die botanische Bezeichnung von Hafer lautet Avena.,1
Zu welcher Pflanzenfamilie zählt Hafer?,Palmengewächse (Arecaceae),Kalmusgewächse (Acoraceae),Süßgräser (Poaceae),Sauergrasgewächse (Cyperaceae),Hafer ist eine Pflanzengattung in der Familie der Süßgräser (Poaceae).,3
Wobei handelt es sich NICHT um eine Hafer-Art?,Bart-Hafer,Johann-Hafer,Flug-Hafer,Nackt-Hafer,Johann-Hafer ist keine Hafer-Art.,2
"Wie heisst der Eiweißbestandteil im Hafer, der bei bestimmten Personen Zöliakie auslösen kann?",Avenin,Gliadin,Hordein,Zein,"Der Zöliakie auslösende Eiweißbestandteil des Hafers heisst Avenin. Gliadin kommt in Weizen, Hordein in Gerste und Zein in Mais vor.",1
Ab wann kann mit Ernte des (Echten) Hafers begonnen werden (ungefähr)?,Februar,März,Juni,August,Die Ernte findet in etwa ab Mitte August statt.,4
Welches Land ist der mit Abstand größte Haferproduzent?,Russland,China,Brasilien,Deutschland,Mit ca. 4.500 Tsd. t ist Russland der weltweit größte Haferproduzent.,1
Welches technische Verfahren kommt bei der Ölgewinnung NICHT zum Einsatz?,Konditionierung,Pressung,Extraktion,Homogenisierung,Durch Homogensisierung wird bei der Milch das Aufrahmen verhindert.,4
Bei welcher Pflanze wird das Speiseöl sowohl aus dem Fruchtfleisch als auch aus den Samen gewonnen?,Ölbaum,Ölpalme,Kokospalme,Kürbis,Aus der Ölpalme gewinnt man sowohl Palmöl als auch Palmkernöl.,2
Welches Öl ist besonders reich an einfach ungesättigten Fettsäuren?,Olivenöl,Sonnenblumenöl,Maiskeimöl,Sesamöl,Olivenöl enthält den höchsten Anteil an einfach ungesättigten Fettsäuren und ist daher so gesund.,1
Welches Vitamin zählt NICHT zu den fettlöslichen Vitaminen?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin C zählt zu den wasserlöslichen Vitaminen.,2
Die so genannte Umesterung ist ein Verfahren zur:,Änderung der physikalischen Eigenschaften,Entfernung von unerwünschten Substanzen,Vitaminanreicherung,Umwandlung von Fetten in Kohlenhydrate,"Durch die Umesterung können physikalische Eigenschaften wie Konsistenz und Schmelzverhalten beeinflusst werden. Dieses Verfahren kommt u.a. bei der Margarineherstellung zu, Einsatz.",1
Welches Lebensmittel hat den niedrigsten Fettgehalt?,Schokolade,Walnuss,Distelöl,Bierschinken,Bierschinken hat mit ca. 12g Fett pro 100g den niedrigsten Fettgehalt.,4
Fette für die menschliche Ernährung bestehen aus einem Glycerinmolekül und,1 Fettsäure,2 Fettsäuren,3 Fettsäuren,4 Fettsäuren,Fette / Triglyceride bestehen aus einem Glycerinmolekül und drei Fettsäuren.,3
Wie ändert sich der (Aggregats)Zustand der Fette bei der Fetthärtung (Hydrierung)?,Von flüssig zu fest,Von flüssig zu gasförmig,Von fest zu flüssig,Von fest zu gasförmig,Die Änderung von flüssig nach fest macht man sich u.a. bei der Margarineherstellung zunutze.,1
Seit wann gibt es das Bayerische Reinheitsgebot?,1374,1489,1501,1516,Das Bayerische Reinheitsgebot wurde am 23. April 1516 durch Wilhelm IV. in Ingolstadt eingeführt.,4
Wie viel kcal enthalten 500 ml Bier (Pils)?,122,180,210,320,"Bier (Pils) enthält pro 100 ml 42 kcal, d.h. 500 ml Pils enthalten 210 kcal.",3
Wobei handelt es sich NICHT um ein obergäriges Bier?,Pils,Berliner Weiße,Alt-Bier,Hefe-Weizen,Beim Pils setzt sich die Hefe am Boden ab. Es handelt sich somit um untergäriges Bier.,1
Woraus wird Malz hergestellt?,Hopfen,Gerste,Weizen,Hefe,Für die Malzbereitung verwendet man Gerste.,2
Wie hoch darf der Alkoholgehalt von alkoholfreiem Bier maximal sein?,"0,0%","0,25%","0,5%","0,75%","Der Alkoholgehalt von alkoholfreiem Bier darf 0,5% nicht übersteigen.",3
Wie viele Liter Bier trinkt jeder Einwohner in Deutschland im Durchschnitt pro Jahr?,65,81,114,182,Der durchschnittliche Verbrauch lag im Jahr 2003 bei ca. 114 Liter Bier pro Einwohner.,3
Welche Region besitzt die höchste Brauereidichte Deutschlands (Einwohner je Brauerei)?,Oberfranken,Oberbayern,Oberpfalz,Niederbayern,Oberfranken besitzt mit über 200 Brauereien (5.511 Einwohner je Brauerei) die weltweit höchste Brauereidichte.,1
"Welches Kraut verbirgt sich hinter der Bezeichnung ""Gänsekraut""?",Beifuß,Rosmarin,Salbei,Thymian,Gänsekraut ist ein Synonym für Beifuß.,1
"Welche Gewürzpflanze verbirgt sich hinter der Bezeichnung ""Maggikraut""?",Basilikum,Bohnenkraut,Liebstöckel,Kerbel,Maggikraut ist die umgangssprachliche Bezeichnung für Liebstöckel.,3
Welches Gewürz wird häufig zusammen mit Thymian in Leber- und Blutwurst verwendet?,Kardamom,Majoran,Zimt,Piment,Majoran und Thymian sind zwei der Hauptgewürze in Leber- und Blutwurst.,2
Welches Kraut wird auch als 'wilder Majoran' bezeichnet? Hinweis: Es ist eines der zentralen Gewürze der italienischen Küche.,Beifuß,Oregano,Ingwer,Zimt,Oregano wird häufig als 'wilder Majoran' bezeichnet.,2
Welches Gewürz riecht und schmeckt nach einer Mischung aus Nelken und Zimt mit einer leichten Schärfe ähnlich des Pfeffers?,Anis,Kerbel,Kümmel,Piment,Piment schmeckt nach einer Mischung aus Nelken und Zimt.,4
"Welches Gewürzkraut ist charakteristisch für das ""Saltimbocca""?",Salbei,Thymian,Rosmarin,Kümmel,"Beim ""Saltimbocca"" werden die Kalbsschnitzel mit Salbei verfeinert.",1
"Der Name welches Gewürzes bedeutet im Griechischen ""Duft""?",Beifuß,Basilikum,Thymian,Rosmarin,"Der Name ""Thymian"" stammt aus dem Griechischen (griech. 'thymus' = Duft).",3
"Welche Gewürzpflanze verbirgt sich hinter der Bezeichnung  ""Maikraut""?",Anis,Koriander,Rosmarin,Waldmeister,Maikraut ist ein Synonym für Waldmeister.,4
"Welches Kraut dient als Grundlage für die Herstellung von Gin, Genever und Steinhäger? Hinweis: Es wird häufig Sauerkraut zugesetzt.",Salbei,Wacholder,Thymian,Koriander,"Die Branntweine Gin, Genever und Steinhäger werden aus Wacholder hergestellt.",2
"Was zählt nicht zu den ""Fines Herbes""?",Bohnenkraut,Curry,Estragon,Kerbel,"Curry ist kein Küchenkraut, sondern eine Gewürzmischung.",2
Wie wird die Zöliakie bei Erwachsenen auch genannt?,Heimatliche Sprue,Einheimische Sprue,Auswärtige Sprue,Fremde Sprue,Die Zöliakie wird bei Erwachsenen auch als Einheimische Sprue bezeichnet.,2
"Wie bezeichnet man die alkohollösliche Fraktion des Glutens, die bei Zöliakie zu den bekannten Symptomen führt?",Adrenalin,Putrescin,Gliadin,Saponin,"Das Gliadin ist der Eiweißbestandteil des Glutens, der mit der Dünndarmschleimhaut und dem Immunsystem reagiert.
",3
Welches ist die erste Maßnahme im Rahmen der Zöliakie-Diagnose?,Bluttest auf Antikörper,Stuhltest,Urintest,Irisdiagnostik,"Die Analyse des Blutes auf bestimmte Antikörper (Transglutaminase-Antikörper, Endomysium-Antikörper, Gliadin-Antikörper) gibt erste Hinweise auf eine Zöliakie/Sprue.",1
"Wodurch wird die Diagnose ""Zöliakie"" endgültig abgesichert?",Röntgenuntersuchung,Magnetresonanztomographie (MRT),Szintigrafie,Dünndarmbiopsie (Gewebeprobe),Die endgültige Diagnose der Zöliakie  erfolgt durch eine Gewebeprobe aus dem Dünndarm (Biopsie).,4
Welche der folgenden Getreidesorten ist glutenfrei?,Grünkern,Hirse,Roggen,Weizen,"Hirse enthält kein Gluten und ist damit eine sinnvolle Alternative für Betroffene.
",2
Welche der folgenden Aussagen ist falsch?,"Der Begriff ""Zöliakie"" stammt aus dem Altgriechischen und bedeutet ""Bauch""","Zöliakie ist nicht heilbar, nur die Symptome können reduziert werden",Bei Besserung der Symptome kann die glutenfreie Ernährung gelockert werden,Menschen mit einem Down-Syndrom (Trisomie 21) leiden häufiger an Zöliakie,"Die glutenfreie Ernährung muss lebenslang durchgeführt werden, auch wenn sich die Symptome subjektiv verbessern.",3
"Wobei handelt es sich um eine stark juckende Erkrankung, die einer Zöliakie auf der Haut entspricht?",Dermatitis herpetiformis Duhring,Non-Hodgkin-Lymphom,Hyperparathyreoidismus,Akromegalie,"Dermatitis herpetiformis Duhring (DHD) ist eine auf der Haut manifestierte Zöliakie, die durch starken Juckreiz und Blasenbildung gekennzeichnet ist. Auch hier ist eine glutenfreie Ernährung einzuhalten.
",1
Was versteht man unter dem Ösophagus?,Mund,Speiseröhre,Magen,Darm,Ösophagus ist der medizinische Fachbegriff für die Speiseröhre.,2
Wie viel Liter Speichel werden pro Tag von den Speicheldrüsen produziert?,100 - 200 ml,200 - 500 ml,500 - 1000 ml,1000 - 1500 ml,"Die Speicheldrüsen produzieren insgesamt bis zu 1,5 Liter Speichel pro Tag.",4
Welches Enzym spaltet Kohlenhydrate in kleinere Untereinheiten?,Amylase,Pepsin,Lipase,Alliinase,Die Amylase spaltet komplexe Kohlenhydrate wie z.B. Stärke in kleinere Einheiten (z.B. Malzzucker).,1
"Der in den Belegzellen der Magenschleimhaut gebildete ""Intrinsic Faktor"" wird für die Resorption welches Vitamins benötigt?",Vitamin A,Vitamin B1,Vitamin B12,Vitamin C,"Ein Mangel an ""Intrinsic Faktor"" kann zu einem Vitamin B12-Mangel und damit zur Blutarmut führen (perniziöse Anämie).",3
Wo wird die für die Fettverdauung (Emulgierung) notwendige Gallenflüssigkeit gebildet?,Gallenblase,Leber,Niere,Bauchspeicheldrüse,"Galle wird in der Leber gebildet, in der Gallenblase gespeichert und in den Zwölffingerdarm abgegeben.",2
Wie groß ist die Gesamt-Oberfläche des menschlichen Darms?,7 Quadratmeter,25 Quadratmeter,75 Quadratmeter,600 Quadratmeter,Durch die vielfachen Ausstülpungen und Dünndarmzotten erreicht der menschliche Darm eine Gesamt-Oberfläche von 600 Quadratmetern.,4
Wobei handelt es sich NICHT um eine Speicheldrüse?,Glandula parotis,Glandula subparotis,Glandula submandibularis,Glandula sublingualis,Die Glandula subparotis existiert nicht.,2
Wie lautet die botanische Bezeichnung für Weizen?,Hordeum,Oryza,Triticum,Secale,"Die botanische Bezeichnung von Weizen lautet ""Triticum aestivum"".",3
Welches Land ist der größte Weizenproduzent?,China,Türkei,Kanada,Deutschland,Mit etwa 96 Mio Tonnen Weizen ist China der größte Weizenproduzent.,1
"Wie heisst das Getreideeiweiß, das die chronische Darmerkrankung Zöliakie verursacht?",Gluten,Propen,Equol,Daidzein,"Das ""Zöliakie-auslösende"" Getreideeiweiß ist das so genannte Gluten, genauer gesagt das Gliadin.",1
"Wovon leitet sich der Name ""Weizen"" (etymologisch) ab?",vom chinesischen Whei-Zen,von der Biersorte (Weizenbier),vom Weiß des Weißmehls,keine Antwort ist richtig,"Der Name ""Weizen"" leitet sich vom ""Weißen"" des Weißmehls ab.",3
Welcher Nährstoff wird bei HOHER Belastungsintensität bevorzugt für die Energiegewinnung herangezogen?,Fette,Kohlenhydrate,Proteine/Fette,Alle in gleichen Anteilen,"Für die Energiegewinnung werden Kohlenhydrate und Fette bevorzugt. Während Fette v.a. bei niedriger Belastung verbrannt/oxidiert werden, steigt der Anteil der Kohlenhydrate mit zunehmender Intensität.",2
"Wie heisst das Stoffwechselprodukt, das bei sportlicher Aktivität im Rahmen der ""anaeroben Glykolyse"" entsteht?",Benzoesäure,Weinsäure,Asparagussäure,Milchsäure,Durch den Abbau von Glucose (Traubenzucker) entsteht Milchsäure (Laktat).,4
Was bezeichnet ein Maß für Blutzuckeranstieg nach einer kohlenhydratreichen Mahlzeit?,Glykämischer Index,Body Mass Index,Lipolytische Masse,Molare Masse,"Der Glykämische Index gibt an, um wie viel der Blutzucker durch den Verzehr eines bestimmten Lebensmittels ansteigt.",1
Welches Proteingemisch hat die höchste Biologische Wertigkeit?,Rinderleber und Roggen,Schweineblut und Hafer,Milch und Weizen,Kartoffeln und Hühnerei,Kartoffeln und Hühnerei im Verhältnis 65:35 haben eine Biologische Wertigkeit von 137.,4
Welches Vitamin spielt im Kohlenhydratstoffwechsel eine besonders wichtige Rolle?,Vitamin B1,Vitamin B6,Vitamin B12,Vitamin C,Vitamin B1 unterstützt u.a. die Umwandlung von Brenztraubensäure in Acetyl-CoA bei der Oxidation von Kohlenhydraten (aerobe Glykolyse).,1
Wie sollte die Beschaffenheit eines Sportgetränkes NICHT sein?,Isoton,Hyperton,Hypoton,"Egal, Hauptsache Flüssigkeit",Ein Sportgetränk sollte immer isoton bis leicht hypoton sein. Hypertone Getränke werden langsamer vom Körper aufgenommen (resorbiert).,2
Welche Funktion besitzt L-Carnitin im menschlichen Körper?,Steigerung der Glykolyse,Aufbau von Muskelmasse,Transport von langkettigen Fettsäuren in die Mitochondrien,Abbau von Cholesterin,"L-Carnitin transportiert langkettige Fettsäuren in die Mitochondrien (""Kraftwerke der Zellen""). Eine zusätzliche Einnahme bewirkt jedoch keine Zunahme der Fettverbrennung.",3
Welche Substanz entsteht im Eiweißstoffwechsel aus Ammoniak und Kohlendioxid? Hinweis: Sie wird über die Nieren ausgeschieden.,Calciumoxalat,Hippursäure,Harnstoff,Harnsäure,"Beim Abbau von Aminosäuren (Desaminierung) entsteht giftiger Ammoniak, der zu Harnstoff abgebaut und anschließend über den Urin ausgeschieden wird.",3
Unter der Glykolyse versteht man den schrittweisen Abbau von...,Alkohol (Ethanol),D-Glucose (Einfachzuckern),Fettsäuren,Aminosäuren,Als Glykolyse wird der sukzessive Abbau von D-Glucose (Traubenzucker) bzw. weiterer Monosaccharide (Einfachzucker) verstanden.,2
Wie wird die Glykolyse aufgrund ihrer Entdecker noch genannt?,Golgi-Cajal-Virchow-Weg,Oehl-Hyrtl-Mantegazza-Weg,Embden-Meyerhof-Parnas-Weg,Lewin-Bizzozero-Kölliker-Weg,"Aufgrund ihrer Entdecker (Gustav Embden, Otto Meyerhof und Jakub Karol Parnas) wird die Glykolyse auch als ""Embden-Meyerhof-Parnas-Weg"" bezeichnet. Diese haben 1929 den Mechanismus der Glykolyse aufgeklärt.",3
Wo findet die Glykolyse statt?,Cytoplasma,Mitochondrien,Endoplasmatisches Retikulum,Golgi-Apparat,Die Glykolyse findet im Cytoplasma jeder Zelle statt.,1
Was ist das Endprodukt der Glykolyse?,Malat,Wasserstoff / H2,Kohlendioxid / CO2,Pyruvat,Pyruvat (Salz der Brenztraubensäure) ist das Endprodukt der Glykolyse.,4
Zu welcher Säure wird das Endprodukt der Glykolyse unter anaeroben Bedingungen weiter abgebaut?,Milchsäure (Lactat),Fumarsäure (Fumarat),Essigsäure (Acetat),Zitronensäure (Citrat),Pyruvat - das Endprodukt der Glykolyse - kann unter anaeroben Bedingungen mit Hilfe der Lactat-Dehydrogenase (LDH) zu Milchsäure (Lactat) reagieren.,1
In welchen Zyklus tritt das unter aeroben Bedingungen gebildete Acetyl-CoA über?,Harnstoffzyklus,Citratzyklus,Hatch-Slack-Zyklus,Elongationszyklus,"Unter aeroben Bedingungen (z.B. Herzmuskel, Leber, Niere) wird das aus Pyruvat gebildete Acetyl-CoA in den Citratzyklus überführt.",2
Welche Substanz ist KEIN Zwischenprodukt der Glykolyse?,Glycerinaldehyd-3-phosphat,Fructose-6-phosphat,Phosphoenolpyruvat,Malonyl-CoA,Malonyl-CoA ist für die Fettsäure-Biosynthese erforderlich und ist kein Zwischenprodukt der Glykolyse.,4
Wie lautet die botanische Bezeichnung für Bananengewächse?,Rosaceae,Musaceae,Spiraeoideae,Bananaceae,Die Bananen (Musa) sind eine Pflanzengattung in der Familie der Bananengewächse (Musaceae).,2
Wobei handelt es sich um eine Bananensorte?,Cavendish,Granny Smith,Golden Delicious,Sieglinde,"Cavendish ist der Name der nach William Cavendish benannten Bananensorte. Granny Smith und Golden Delicious sind Apfel-, Sieglinde ist eine Kartoffelsorte.",1
Wie wird der Befall der Bananenstaude mit Schimmelpilz (Fusariumwelke) noch genannt?,Belize-Krankheit,Guatemala-Krankheit,El Salvador-Krankheit,Panama-Krankheit,"Die Fusariumwelke, auch Panama-Krankheit genannt, wird von einem Schimmelpilz der Gattung Fusarium verursacht.",4
"Welches Gas wird als ""Reifungsbeschleuniger"" bei grünen Bananen eingesetzt?",Buten,Ethen,Propan,Pentin,"Ethen wird in den Reifekammern eingesetzt, damit die Bananen alle zur gleichen Zeit reifen.",2
Welches Land ist der größte Bananenproduzent?,Indien,China,Thailand,Australien,"Der weltweit größte Produzent ist Indien mit 16,5 Millionen Tonnen vor Ecuador mit 7,56 Mio. Tonnen. ",1
Warum ist die Banane krumm?,Die Ursache ist ein Gendefekt.,Durch Platzmangel biegen sich einige Früchte.,Die Banane streckt sich dem Licht entgegen.,Die eigentliche Ursache ist unbekannt.,"Nachdem die großen Deckblätter an den Stauden abfallen, streckt sich jede Banane nach oben dem Licht entgegen.",3
Ab welcher Hämoglobin-Konzentration im Blut spricht man von Blutarmut / Anämie?,Mann < 100g/l und Frau < 90g/l,Mann < 110g/l und Frau < 100g/l,Mann < 130g/l und Frau < 120g/l,Mann < 150g/l und Frau < 140g/l,"Eine Anämie liegt bei Hämoglobin-Werten unter 130g/l bei Männern bzw. unter 120g/l bei
Frauen vor.",3
Wie heisst das Speicherprotein für Eisen?,Ferritin,Transferrin,Kreatin,Carnitin,Das Speicherprotein Ferritin wird zur Diagnose der Anämie herangezogen.,1
Wobei handelt es sich um das Transportprotein für Eisen?,Ferritin,Transferrin,Kreatin,Carnitin,Transferrin ist für den Eisentransport zuständig.,2
Was sagt der Hämatokritwert aus?,Maß für die absolute Anzahl an roten Blutkörperchen,Verhältnis zwischen roten und weißen Blutkörperchen,Maß für den Eisengehalt im Blut,Volumenanteil der roten Blutkörperchen am Gesamtvolumen des Blut,"Der Hämatokritwert wird in Prozent angegeben und entspricht dem Volumenanteil der roten
Blutkörperchen am Gesamtvolumen des Blutes.",4
Wie viel Prozent der deutschen Bevölkerung leiden unter Blutarmut?,1% der Männer und 5% der Frauen,5% der Männer und 1% der Frauen,2% der Männer und 10% der Frauen,10% der Männer und 2% der Frauen,In Deutschland leiden etwa 2% der Männer und 10% der gebärfähigen Frauen unter einer Anämie.,3
Wie lautet die chemische Abkürzung für Eisen im Periodensystem?,Fe,Mg,Es,En,Im Periodensystem wird Eisen mit Fe abgekürzt (lat. ferrum = Eisen).,1
Der Mangel an welchem Vitamin führt zur sogenannten perniziösen Anämie?,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,"Lang andauernder Mangel an Vitamin B12 führt zur perniziösen Anämie, einer Sonderform der Blutarmut, bei der die Zellteilung der roten Blutkörperchen verzögert ist.",4
Die gleichzeitige Zufuhr welches Vitamins fördert die Eisen-Resorption?,Vitamin A,Vitamin C,Vitamin D,Vitamin E,"Durch gleichzeitige Zufuhr von Vitamin C wird die Aufnahme von Eisen verbessert, da hierbei dreiwertiges Eisen (Fe3+) zu zweiwertigem (Fe2+) reduziert wird.",2
Wie viel mg Eisen sollte täglich mit der Nahrung zugeführt werden?,Männer 15 mg/Tag und Frauen 10 mg/Tag,Männer 15 mg/Tag und Frauen 10 mg/Tag,Männer 5 mg/Tag und Frauen 10 mg/Tag,Männer 10 mg/Tag und Frauen 15 mg/Tag,Durch den menstruationsbedingten Blutverlust haben Frauen einen höheren Eisenbedarf. Er liegt bei 15 mg/Tag (Männer: 10 mg/Tag).,4
Welches Lebensmittel enthält pro 100 Gramm am meisten Eisen?,Schweineleber,Spinat,Mangold,Sojabohnen,"Schweineleber hat mit 15,8 mg Eisen pro 100 Gramm den höchsten Eisengehalt.",1
Wie viel Prozent der Bevölkerung in den westlichen Industrieländern leiden an Karies?,60 Prozent,70 Prozent,80 Prozent,90 Prozent,"90% der Bevölkerung leiden an Karies. Zur Zeit des 2. Weltkrieges war Karies sehr selten, was den Einfluss der Ernährung deutlich macht.",4
Die häufige Zufuhr welcher Nährstoffgruppe ist (aus zahnmedizinischer Sicht) besonders ungünstig bzw. besitzt die höchste Kariogenität?,Kohlenhydrate,Eiweiß / Proteine,Fette,Alkohol,Die häufige Zufuhr von niedermolekularen Kohlenhydraten (Zuckern) ist zusammen mit ungenügender Zahnhygiene ein wichtiger Risikofaktor.,1
"Welche Bakterien-Gattung, die in der Mundhöhle angesiedelt ist, ist an der Entstehung der Karies beteiligt?",Clostridium botulinum,Yersinia pestis,Streptococcus mutans,Listeria monocytogenes,Besonders gefährlich sind Bakterien der Gattung Streptococcus mutans.,3
Welches Lebensmittel enthält den höchsten (Gesamt-)Zuckergehalt?,Nuss-Nougat-Creme,Marzipan,Honig,Marmelade,"Honig enthält 75% Zucker (Frucht-, Trauben- und Haushaltszucker) und wirkt sich durch seine klebrige Konsistenz besonders ungünstig aus.",3
Wobei handelt es sich NICHT um einen Süßstoff?,Saccharin,Saccharose,Cyclamat,Aspartam,Saccharose ist die chemische Bezeichnung für Haushaltszucker.,2
Welche Substanz ist KEIN Zuckeraustauschstoff?,Sorbit,Mannit,Xylit,Maltose,Maltose ist die chemische Bezeichnung für Malzzucker.,4
Welches Spurenelement wird besonders in Knochen und Zähnen eingelagert und sorgt für die Stabilität des Zahnschmelzes?,Jodid,Mangan,Fluoride,Molybdän,Fluoride sind sehr häufig in Zahncremes enthalten. Die ausreichende Zufuhr mit der Nahrung reduziert das Karies-Risiko um 50%.,3
"Wie wird der Anteil des Whiskys bezeichnet, der im Laufe seiner Lagerung aus dem Fass verdunstet?",Angel's share,Flatulenz,Anteil Gottes,Gas of Hell,"Das austretende Gas wird als Angel's share oder 'Angel's dram' bezeichnet, zu deutsch etwa 'Engelsanteil' bzw. 'Schluck der Engel'.",1
Das Verbrennen welcher Substanz führt zu dem typischen Rauchgeschmack mancher schottischer Whiskys?,Papier,Plastik,Teer,Torf,Das Verbrennen von Torf ist für den typischen Rauchgeschmack mancher schottischer Whiskys verantwortlich.,4
Aus welcher Getreideart wird Bourbon-Whisky hergestellt?,Roggen,Mais,Malz,Weizen,"Bourbon bezeichnet Whisky, der überwiegend aus Mais hergestellt wurde (mindestens 51 Prozent).",2
"Was bedeutet die Bezeichnung ""single"" (z.B. Single-Malt-Whisky"")?",Whisky stammt aus einer einzelnen Brennerei,Whisky wird nur aus einer Getreideart gebrannt,Whisky wird nur von unverheirateten Brennern hergestellt,Whisky wird nur einmal im Jahr gebrannt,"Unter einem Single versteht man einen Whisky, der aus einer einzelnen Brennerei stammt (im Gegensatz zum ""Blend"").",1
Welche amerikanische Persönlichkeit war Inhaber einer eigenen Brennerei?,Sylvester Stallone,Clint Eastwood,John Wayne,George Washington,George Washington betrieb selbst eine Brennerei. 1794 erließ er eine Steuer auf Whisky.,4
"Wie lautet die wissenschaftliche Bezeichnung für ""Birne""?",Pylorus,Pyrus,Phthalat,Phalanx,Pyrus ist die korrekte wissenschaftliche Bezeichnung.,2
Zur welche Pflanzenfamilie zählen Birnen?,Liliengewächse (Liliaceae),Lippenblütler (Lamiaceae),Korbblütler (Asteraceae),Rosengewächse (Rosaceae),"Die Birne ist eine Pflanzengattung, die zur Familie der Rosengewächse (Rosaceae) gehört.",4
Wie viele Birnensorten gibt es insgesamt (Schätzung)?,30,50,500,5000,Die heutige Anzahl der Birnensorten in Alter und Neuer Welt wird auf 5000 geschätzt.,4
Wobei handelt es sich NICHT um eine Birnensorte?,Birne Helene,Williams Christ,Gute Luise,Forellenbirne,"Die Birne Helene ist ein klassiches Dessert, aber keine Birnensorte.",1
Welcher deutsche Politiker wurde in Karikaturen häufig als Birne dargestellt?,Helmut Kohl,Hans-Dietrich Genscher,Franz Josef Strauß,Helmut Schmidt,In den 80er Jahren wurde Helmut Kohl erstmals vom Karikaturisten Hans Traxler in der Zeitschrift Titanic als Birne dargestellt.,1
